"diff_id","del","ins","mod","total","dummy"
"1204",0,16,1,17,"dummy"
"1205",1,1,1,3,"dummy"
"1206",15,5,0,20,"dummy"
"1207",5,1,0,6,"dummy"
"1208",0,1,0,1,"dummy"
"1216",0,0,1,1,"dummy"
"1217",0,6,1,7,"dummy"
"1218",0,1,0,1,"dummy"
"1230",0,2,3,5,"dummy"
"1231",0,0,1,1,"dummy"
"1232",0,12,3,15,"dummy"
"1233",0,0,1,1,"dummy"
"1234",0,0,0,0,"dummy"
"1235",0,3,0,3,"dummy"
"1236",2,0,0,2,"dummy"
"1237",3,5,0,8,"dummy"
"1238",0,0,1,1,"dummy"
"1239",0,2,1,3,"dummy"
"1247",0,2,0,2,"dummy"
"1248",0,1,0,1,"dummy"
"1249",1,4,8,13,"dummy"
"1250",0,2,0,2,"dummy"
"1251",2,2,1,5,"dummy"
"1252",2,5,4,11,"dummy"
"1257",0,2,1,3,"dummy"
"1258",4,1,0,5,"dummy"
"1259",0,0,0,0,"dummy"
"1262",0,0,1,1,"dummy"
"1263",0,0,1,1,"dummy"
"923",0,0,1,1,"dummy"
"929",0,0,0,0,"dummy"
"930",0,0,0,0,"dummy"
"931",0,0,0,0,"dummy"
"955",0,0,1,1,"dummy"
"1174",1,6,4,11,"dummy"
"1198",0,11,0,11,"dummy"
"1199",2,14,1,17,"dummy"
"1200",0,4,1,5,"dummy"
"1201",0,2,0,2,"dummy"
"1202",0,1,0,1,"dummy"
"1212",0,10,0,10,"dummy"
"1213",10,0,0,10,"dummy"
"1214",0,10,0,10,"dummy"
"1220",0,0,1,1,"dummy"
"1221",0,0,1,1,"dummy"
"1222",0,0,2,2,"dummy"
"1223",0,0,1,1,"dummy"
"1224",0,0,1,1,"dummy"
"1254",0,8,0,8,"dummy"
"1255",0,0,2,2,"dummy"
"1271",0,0,2,2,"dummy"
"1272",0,0,1,1,"dummy"
"1286",0,0,1,1,"dummy"
"1287",0,5,1,6,"dummy"
"1288",0,3,0,3,"dummy"
"1289",0,0,2,2,"dummy"
"1290",15,0,1,16,"dummy"
"1291",0,0,1,1,"dummy"
"1292",0,0,1,1,"dummy"
"1293",0,1,0,1,"dummy"
"1294",0,2,0,2,"dummy"
"1295",0,0,1,1,"dummy"
"1296",0,0,1,1,"dummy"
