repo_path,i_owner_type,i_stargazers,instructions,multi_process_tool,type
panubo/docker-postfix,Organization,2,20,supervisord,cmd
binhex/arch-plexpass,User,4,11,supervisord,cmd
cfpb/hmda-geo,Organization,4,37,supervisord,cmd
sspreitzer/fedora-docker,User,0,13,supervisord,cmd
y16ra/docker-wordpress-nginx,User,1,32,supervisord,cmd
albertoruibal/docker-odoo,User,1,20,supervisord,cmd
brijeshakbari/edXconfiguration,User,0,13,supervisord,cmd
disconn3ct/docker-sshd-otp,User,4,18,supervisord,cmd
MatrixSolutions/docker-kafka,Organization,3,17,supervisord,cmd
adsabs/adsabs-vagrant,Organization,0,14,supervisord,cmd
LuisPalacios/base-courierimap,User,0,36,supervisord,cmd
guest6379/c9ide,User,0,24,supervisord,cmd
EMSL-MSC/pacifica-archiveinterface,Organization,0,20,runit,cmd
jsonnull/vagrant_docker,User,0,12,supervisord,cmd
dpayne0220/docker-mysql,User,0,19,supervisord,cmd
bugzilla/bugzilla,Organization,95,37,supervisord,cmd
ppepos/drunken-shame,User,2,13,supervisord,cmd
edx/configuration,Organization,561,9,supervisord,cmd
31z4/factom-sandbox-docker,User,3,13,supervisord,cmd
kdelfour/lychee-docker,User,11,30,supervisord,cmd
Simplicity-at-Source/oldplatform,Organization,2,23,supervisord,cmd
romeOz/docker-nginx-php,User,42,15,supervisord,cmd
dockhippie/traefik,Organization,0,9,s6,cmd
openmhealth/shimmer,Organization,145,37,supervisord,cmd
tcaxias/docker,User,2,23,supervisord,cmd
fedora-cloud/Fedora-Dockerfiles,Organization,307,17,supervisord,cmd
tclark/docker-build-example,User,0,11,supervisord,cmd
tryagainconcepts/monit-master,Organization,0,16,supervisord,cmd
bretterknaller/Docker_Base,User,0,9,supervisord,cmd
zooniverse/Cellect,Organization,2,37,supervisord,cmd
chrchr/hello_infrastructure,User,0,15,supervisord,cmd
mxbossard/scripts,User,1,31,supervisord,cmd
meandmymonkey/docker-satis-silex,User,0,6,supervisord,cmd
Dockerlover/docker-etcd,Organization,0,11,supervisord,cmd
ychaker/docker-rails-mongo-redis,User,0,19,supervisord,cmd
benc/debian-vagrant,User,0,13,supervisord,cmd
Dockerlover/docker-java,Organization,0,12,supervisord,cmd
LaraDock/laradock,Organization,1947,9,supervisord,cmd
brumgeek/pisupervisortest,User,0,9,supervisord,cmd
linkthrow/docker-ffmpeg,User,0,9,supervisord,cmd
svenkreiss/shoveling,User,0,34,supervisord,cmd
sunsided/storm-docker,User,0,9,supervisord,cmd
autodesk-cloud/ochonetes,Organization,28,12,supervisord,cmd
Lockh/docker-lamp,User,0,20,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
sedden/docker-xrdp-desktop,User,1,30,supervisord,cmd
Intelworks/OpenTAXII,Organization,28,18,supervisord,cmd
marcko/docker-expressv2,User,0,15,supervisord,cmd
rubinius/docker,Organization,1,29,supervisord,cmd
sivabizruntime/dockerfile,User,0,14,supervisord,cmd
nak3/cockroach-local-cluster,User,0,16,supervisord,cmd
samuelebistoletti/docker-statsd-influxdb-grafana,User,45,33,supervisord,cmd
jmatis/midpoint-fusionreactor,User,0,16,supervisord,cmd
masato/meshblu-dev,User,0,16,supervisord,cmd
intropro/single-node-cloudera-env,Organization,10,48,supervisord,cmd
ambling/hadoop-docker,User,1,27,supervisord,cmd
xialingxiao/andokaelk,User,0,23,supervisord,cmd
adsabs/adsabs-vagrant,Organization,0,15,supervisord,cmd
Karumi/docker-sentry,Organization,1,22,supervisord,cmd
MSUAS-15SoSe-MProj/diperf,Organization,1,23,supervisord,cmd
armedpot/ARMedPOT,User,3,33,supervisord,cmd
artem-sidorenko/vagrant-environments,User,2,10,supervisord,cmd
dtag-dev-sec/emobility,Organization,5,11,supervisord,cmd
Banno/graphite-setup,Organization,15,29,supervisord,cmd
Christopheraburns/projecttelemetry,User,0,21,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,10,supervisord,cmd
Tairy/dockerfiles,User,1,14,supervisord,cmd
flythecircle/gotojourney,User,0,14,supervisord,cmd
devdkerr/logstash,User,1,17,supervisord,cmd
APItools/monitor,Organization,115,17,supervisord,cmd
amaline/docker-images,User,1,12,supervisord,cmd
bwernli/guacamole,User,0,28,supervisord,cmd
spotify/docker-kafka,Organization,464,13,supervisord,cmd
Sitback/docker-containers,Organization,1,26,supervisord,cmd
viki-org/storm-docker,Organization,41,9,supervisord,cmd
kvaps/docker-pydio,User,0,34,supervisord,cmd
Dockerlover/docker-nodejs,Organization,0,17,supervisord,cmd
atsaki/docker-cloudstack,User,0,5,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
vsudilov/vocbench-docker,Organization,0,24,supervisord,cmd
sunsided/storm-docker,User,0,5,supervisord,cmd
Hipo/comp-clerk,Organization,0,11,supervisord,cmd
SophiaGitHub/newGitHub,User,0,14,supervisord,cmd
tmuskal/docker-pixel-kinesis,User,0,21,supervisord,cmd
panamax-docker/panamax-docker-hubot,User,0,17,supervisord,cmd
CanalTP/fabric_navitia,Organization,1,22,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
coolhacks/docker-hacks,Organization,3,34,supervisord,cmd
autodesk-cloud/ochopod,Organization,115,12,supervisord,cmd
kenneyhe/docker-10.6-x86_32,User,0,14,supervisord,cmd
dballinger/statsd-influxdb-grafana,User,0,20,supervisord,cmd
andresriancho/w3af-api-docker,User,1,23,supervisord,cmd
peterreisz/docker-containers,User,0,20,supervisord,cmd
walkerwzy/initDockerImage,User,0,16,supervisord,cmd
ziyunhx/storm-mono-docker,User,9,10,supervisord,cmd
medined/docker-lumify,User,0,10,supervisord,cmd
FoxtrotSystems/spark-cassandra-docker,Organization,3,17,supervisord,cmd
bosun-monitor/bosun,Organization,2107,20,supervisord,cmd
pulcy/prometheus-conf,Organization,0,14,supervisord,cmd
analytically/haproxy-ddos,User,156,63,supervisord,cmd
kubernetes/kops,Organization,818,14,supervisord,cmd
Duke-GCB/DukeDSHandoverService,Organization,0,13,supervisord,cmd
uobdic/dice-docker,Organization,1,14,supervisord,cmd
uqlibrary/docker-elasticsearch,Organization,1,23,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
eric-svds/flask-with-docker,User,0,16,supervisord,cmd
jmarin/devops,User,0,11,supervisord,cmd
