Gitorious-backup/mainline;265;0
groovenauts/magellan-proxy;40;0
pieperz/Blog;1;0
dfranssen/docker-keycloak-import-realm;45;1
pushbit-co/platform;283;1
dynport/docker-private-registry;12;0
kvnvelasco/Docker-NPM-Build-Server;15;0
Sid2130/ToDoApp_MEAN_Stack;2;0
fdabrandao/docker-ubuntu;17;0
SourceMod-Store/Docker-WebPanel-Core;120;1
f1rosie/dockerbioinforweb;108;1
tesir/edas-test-docker;505;0
Bilusca/etudos-angular-2;142;1
kaylynb/docker-openvpn-client;27;1
restic/restic;102;1
kudotty/docker-apache-php-fastcgiperl;149;1
marmelab/docker-parallel-phpunit-demo;2;0
msimerson/Mail-Toaster-6;62;1
extellisys/docker-image-apt-cacher-ng;0;0
madwire/docker-ruby-passenger;52;1
scottbcovert/wedding-site;541;1
dstroppa/flask-blog;51;1
democracyworks/voting-method-works;12;0
bitrise-io/bitrise;111;1
lukasz-golebiewski/eventstore;46;1
tyloo/docker-laravel-data;11;1
svyatogor/resty-lua-jwt;263;0
hyzhak/docker-rpi-sysbench;21;0
iquzart/docker-razor;128;1
Gustavo08/had;2;0
camptocamp/conplicity;0;0
scaytrase/rpi-docker-php7;17;0
johntellsall/hello;65;1
octohost/hapi;36;1
greyia/nginx-docker-supervisord;74;1
viscose/dashboard;1066;1
Libertrip/sample_rails_4;102;1
snakeliwei/alpine-gollum;5;0
leportlabs/mongo-k8s-sidecar;54;1
qmsk/close;11;0
sjtug/lug;94;0
Microbiology/OpenMetagenomeToolkit;963;0
peleteiro/bandit-server;34;0
hermantolentino/docker-jupyterhub;297;0
Carboni/java-phantom-component;49;1
ChannelMeter/redis-monitor-graphite;3;0
daheim/daheim-app-ui;183;0
introduction-angular2/ng2-book-finder;51;0
joshix/caddybox;2;1
nekonyuu/docker-ubuntu-devel-py-sci;35;0
virtualroot/docker-teeworlds;26;1
Timmahh/bgg-resolutions;42;1
qnib/docker-gapi-influxdb;31;0
nagucc/nslookup-wx;35;0
nicferrier/elnode;68;1
BlackMesh/cascade-cli;60;0
domaframework/doma;100;1
webtatic-dockerfiles/fedora20;42;1
iwag/Dockerfiles;1;0
p4tin/GoAws;2;0
Yelp/tlspretense-service;85;1
wadadaaa/marta;295;1
leMaik/EduCraft-Editor;203;1
ammaristotle/slackSMS;111;1
harmon25/msfdocker;265;1
CodeDistillery/goobyfollower;69;1
NatGuyton/docker-rpm-buildhost-el6;52;1
hashbang/docker-slapd;36;1
SocialOrra/confluent-platform;67;1
seasidesun/site-tobegod-blog;99;1
ascribano/rob;97;1
linux-taiwan/arch.linux.org.tw;96;1
pokle/clojure-on-docker;56;0
ailabitmo/owl-pub;99;0
MaksymBilenko/docker-pdns-mysql;33;1
viethle126/lunchbot;107;1
netinlet/prorata;16;1
iilab/ltfhc-couch;124;0
fkoester/purring-flamingo;105;0
aurelijusjaneliunas/darius-ir-jurga.net;100;1
vieux/docker-volume-sshfs;7;0
studentinsights/studentinsights-pinger;51;1
abaldock/cs132_security_lab_group_24;113;1
jkawamoto/ambassadors;11;1
jasonb5/pyneat-web;79;1
shiphitchcock1/sample_node_dockeroptions;87;1
ggirou/risk;45;1
wmiller848/Fedops;181;0
crealytics/postgrest-docker;68;1
kawanamiyuu/docker-centos-supervisord;196;1
CanopyTax/logspit;24;1
ucla/casa-on-rails-docker;414;1
MarvAmBass/docker-oracle-java6;95;1
dieforrockvn/testjs;2;0
osminogin/tornote;90;0
reuteras/docker-kippo;84;1
eamonnfaherty/docker-kibana;13;0
turfmedia/github-watcher-web;270;1
Code4HR/hercules-dockerfile-base;256;1
mchelen/docker-jotgit;127;0
jsmigel/docker-ngircd;270;1
stonerworx/opensurf-java;180;1
mjbrewer/testindex;215;0
icodex/docker-varnish;83;1
coderaiser/cloudcmd;82;1
ppericard/matam;672;1
mattjmcnaughton/sdep;128;1
winnipegcompsci/futures-node;2;0
docker-linux/docker-rundeck;195;1
spiffytech/clojure-drip;67;1
hwstovall/equipment-room;52;1
pataquets/docker-openstack-dashboard;98;1
tonye1/JavaHelloWorldApp;41;1
DreadPirateJay/ng-demo;1;0
BWITS/alpine-package;86;1
Habitissimo/vespapp-twitter;74;1
Skalas/R-docker-compiled;1082;1
jochasinga/rpg-x;93;1
evuez/genos;17;0
rgreschner/docker-rpi-raspbian-mongodb;51;0
crccheck/django-object-actions;22;0
openrada/api;116;1
codexsystems/docker-gitlab-runner;61;1
dmolesUC3/stash-db-docker;56;1
gfiedler/docker-squid;34;0
euank/docker-nginscript;29;0
masm/docker-wagon;46;1
noumia/docker-data;11;1
kws/alpine-node-sass;31;1
jmcarbo/codocker_base;49;0
adumont/docker-transmission;7;1
saltykovdg/mern-react-redux-nodejs-express-todo-list;247;1
yuroyoro/gitterb;0;0
cmheisel/project-status-dashboard;446;1
